Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202299,104,10580,C,Albany-Schenectady-Troy  NY ,1266,1266,410915,34,68,15600,11,44,7042,78,1257,208976,1170,1170,386781,32,64,15000,10,40,6722,67,1202,206321
202299,104,24020, ,Glens Falls  NY ,232,232,68650,8,16,2913,6,22,2873,4,22,2855,231,231,68500,8,16,2913,6,22,2873,4,22,2855
202299,106,10740,C,Albuquerque  NM ,1903,1903,473538,0,0,0,2,7,784,9,942,94440,1874,1874,462371,0,0,0,2,7,784,9,942,94440
202299,106,42140,C,Santa Fe  NM ,177,177,86749,7,14,2062,0,0,0,14,399,45323,177,177,86749,7,14,2062,0,0,0,14,399,45323
202299,107,11020, ,Altoona  PA ,71,71,20741,0,0,0,0,0,0,6,52,7654,67,67,20341,0,0,0,0,0,0,6,52,7654
202299,108,11100, ,Amarillo  TX ,818,818,205749,25,50,6475,1,4,601,7,110,14034,814,814,204817,25,50,6475,1,4,601,7,110,14034
202299,118,11540, ,Appleton  WI ,480,480,188029,52,104,19220,0,0,0,9,183,24967,480,480,188029,52,104,19220,0,0,0,9,183,24967
202299,118,36780, ,Oshkosh-Neenah  WI ,325,325,125015,16,32,6214,0,0,0,7,102,14332,325,325,125015,16,32,6214,0,0,0,7,102,14332
202299,120,11700, ,Asheville  NC ,2813,2813,1092464,1,2,30,0,0,0,35,716,134273,2423,2423,1014432,1,2,30,0,0,0,15,595,100768
202299,122,12020, ,Athens-Clarke County  GA ,771,771,237164,10,20,3418,3,12,1396,58,1542,177311,588,588,183106,10,20,3418,3,12,1396,58,1542,177311
202299,122,12060, ,Atlanta-Sandy Springs-Alpharetta  GA ,26629,26629,6992783,93,186,35183,110,398,54174,563,21288,2703352,26581,26581,6987251,93,186,35183,110,398,54174,563,21288,2703352
202299,122,23580, ,Gainesville  GA ,1196,1196,287194,1,2,198,12,44,4390,28,825,143468,277,277,70643,1,2,198,12,44,4390,28,825,143468
202299,122,40660,C,Rome  GA ,310,310,67278,0,0,0,0,0,0,0,0,0,310,310,67278,0,0,0,0,0,0,0,0,0
202299,140,13460,C,Bend  OR ,1178,1178,440653,56,112,22283,15,47,7513,36,776,98705,1178,1178,440653,56,112,22283,15,47,7513,36,776,98705
202299,142,13820,C,Birmingham-Hoover  AL ,3045,3045,983895,32,64,11110,12,46,6912,29,992,185049,2994,2994,975651,32,64,11110,12,46,6912,29,992,185049
202299,144,14020,C,Bloomington  IN ,351,351,111358,3,6,852,0,0,0,10,206,26132,351,351,111358,3,6,852,0,0,0,10,206,26132
202299,145,14010, ,Bloomington  IL ,305,305,84606,3,6,975,2,8,1000,3,118,11400,305,305,84606,3,6,975,2,8,1000,3,118,11400
202299,146,14100,C,Bloomsburg-Berwick  PA ,135,135,38264,0,0,0,0,0,0,0,0,0,135,135,38264,0,0,0,0,0,0,0,0,0
202299,147,14260,C,Boise City  ID ,5925,5925,1632979,39,78,14676,100,398,43908,198,4074,682511,5744,5744,1591457,38,76,14310,100,398,43908,197,4066,681047
202299,148,12700, ,Barnstable Town  MA ,564,564,325694,18,36,5639,5,15,3500,3,272,45112,564,564,325694,18,36,5639,5,15,3500,3,272,45112
202299,148,14460,C,Boston-Cambridge-Newton  MA-NH ,4025,4025,1617689,233,466,110497,113,381,91316,295,8723,2139878,3406,3406,1423159,216,432,103630,107,363,87667,181,7348,1921826
202299,148,31700, ,Manchester-Nashua  NH ,620,620,205276,15,30,5673,5,20,2948,4,174,17835,560,560,189349,15,30,5673,5,20,2948,4,174,17835
202299,148,39300,C,Providence-Warwick  RI-MA ,1560,1560,455998,112,224,32979,24,82,12210,17,257,34011,1075,1075,355702,108,216,32147,24,82,12210,8,210,29267
202299,148,49340, ,Worcester  MA-CT ,1172,1172,332643,47,94,19312,3,10,1845,24,976,188211,918,918,265701,39,78,17062,3,10,1845,17,941,184718
202299,150,14540, ,Bowling Green  KY ,835,835,206525,4,8,834,9,35,3675,86,758,71477,831,831,205925,4,8,834,8,32,3450,86,758,71477
202299,154,15180, ,Brownsville-Harlingen  TX ,1937,1937,373669,44,88,8539,11,39,5511,22,442,54183,1930,1930,372505,44,88,8539,11,39,5511,21,385,47083
202299,160,15380,C,Buffalo-Cheektowaga  NY ,1213,1213,417873,16,32,6031,13,49,10406,25,297,60907,1152,1152,407699,16,32,6031,13,49,10406,11,86,13594
202299,162,15540, ,Burlington-South Burlington  VT ,422,422,139290,37,74,10070,8,25,1339,29,603,93566,340,340,117124,31,62,8063,8,25,1339,22,568,91704
202299,163,15980,C,Cape Coral-Fort Myers  FL ,9145,9145,2151236,128,256,33155,29,113,15182,166,4107,504761,9145,9145,2151236,128,256,33155,29,113,15182,166,4107,504761
202299,163,34940, ,Naples-Marco Island  FL ,3519,3519,1612622,14,28,6504,44,171,39658,63,1799,386377,3519,3519,1612622,14,28,6504,44,171,39658,63,1799,386377
202299,164,16020, ,Cape Girardeau  MO-IL ,92,92,28202,1,2,350,0,0,0,0,0,0,92,92,28202,1,2,350,0,0,0,0,0,0
202299,168,16300, ,Cedar Rapids  IA ,453,453,124808,35,70,13101,5,19,1296,15,405,40128,451,451,124466,33,66,12501,5,19,1296,15,405,40128
202299,168,26980, ,Iowa City  IA ,492,492,161411,46,92,22026,16,62,12280,15,783,136980,446,446,151732,43,86,21124,16,62,12280,15,783,136980
202299,170,16620, ,Charleston  WV ,154,154,21383,1,2,334,1,4,150,0,0,0,139,139,19267,1,2,334,1,4,150,0,0,0
